topic,ID,Relationship,Node,x,y
1,,T-1,virtual,60,36
1,,T-1,events,-737,67
1,,T-1,online,-726,-174
1,,T-1,event,-678,286
1,,T-1,learn,-632,-372
1,,T-1,join,-569,486
1,,T-1,info,-558,-76
1,,T-1,jan,-520,138
1,,T-1,goals,-500,-538
1,1,T-1,inperson,-450,-271
2,,T-2,events,-435,340
2,,T-2,event,-389,591
2,,T-2,virtual,-356,-53
2,,T-2,card,-320,378
2,,T-2,business,-314,-469
2,,T-2,network,-308,-559
2,,T-2,build,-302,650
2,,T-2,professional,-296,-740
2,,T-2,hybrid,-290,345
2,2,T-2,woo,-284,-421
3,,T-3,virtual,-278,576
3,,T-3,event,-272,-86
3,,T-3,live,-266,250
3,,T-3,learn,-260,-420
3,,T-3,hybrid,-254,-350
3,,T-3,check,-248,680
3,,T-3,platform,-242,710
3,,T-3,join,-236,-67
3,,T-3,media,-230,175
3,3,T-3,host,-224,240
4,,T-4,happy,-218,-83
4,,T-4,event,-212,149
4,,T-4,virtual,-206,-548
4,,T-4,team,-200,-169
4,,T-4,events,-194,478
4,,T-4,top,-188,586
4,,T-4,info,-182,-72
4,,T-4,list,-176,186
4,,T-4,blog,-170,-435
4,4,T-4,attendees,-164,-376
5,,T-5,events,-158,274
5,,T-5,event,-152,482
5,,T-5,share,-146,-61
5,,T-5,christmas,-140,234
5,,T-5,blog,-134,-672
5,,T-5,virtual,-128,-167
5,,T-5,post,-122,574
5,,T-5,platform,-116,-81
5,,T-5,love,-110,275
5,5,T-5,reach,-104,-152