V1,category_senti
"Get in touch with us today to host your virtualhybrid event 

             ",Neutral
"Check out the walkthrough  do let us know your thoughts on the same 

               ",Neutral
" Added to our     ClearoutIo GanttPROcom KdanMobile livewebinar getoptinly retainful TailwindApp vfairs check out their deals 

    ",Neutral
"Let us virtually entertain you this festive season with our brilliant selection of virtual entertainment options



       ",Positive
"Whether youre looking for
 Virtual Entertainers
 Online Craft Workshop
 Virtual Games
 Online Team Building
 Virtual Food and Drink Workshops

Weve got all kinds of virtual entertainment to suit every audience



  ",Positive
"Our Virtual Murder Mystery Experience is great for those looking to boost team morale

 No Maximum No of Participants

 Highly interactive and immersive

 Encourages group participation



   ",Positive
"Our Virtual Murder Mystery Experience is great for those looking to boost team morale by bringing people together if you are working remotely from home



    ",Positive
"Everything you need to know about online experiences and why you should book one as part of your next event



       ",Neutral
"Take Your Virtual Events to the Next Level with our Nextiz Solution Contact us at 

       ",Positive
"NEWS UPDATE 
KUALA Lumpur Convention Centre said there was a declining appeal among organizers for virtual events as it managed to host over  national and regional business events this year 
Read more at 

TMReserve

  ",Positive
"Nearly half of event planners use social media for attendee engagement during the event compared to inperson events Connect with us to know more about Nextiz at 

      ",Neutral
"Nexitz offers  degree view of the event performance Nextiz is equipped with advanced reporting capabilities with endtoend data tracking 
Visit us for more information at 

     ",Positive
" Nostalgia

Sahir Ki Yaad Mein 
What a fantastic performance by Fouzia Dastango  Bidisha Roy

Click to watch



      ",Positive
" Nostalgia

Raag Tarang presented by the super talented vocalist Madhuvanti Bhide at one of our episodes

Watch it here



    ",Positive
"It is quite the challenge if its your first time creating virtual events but the more you learn about the process the more you will see that it is worth giving a shot  
 
Visit the link in our bio to learn more 
 
    ",Positive
"Value the time you have and unleash better results  
 
With proper scheduling you can maximise your productivity and diligently work on the process of creating events 
 
   ",Positive
"There is no such thing as a perfect event but if you are trying your best to give every participant the best experience best believe that it will become a success  
 
Invest in a platform that can bring your ideas to life 
 
   ",Positive
MakeUseOf How to Create and Attend Discord Events     ,Negative
Genealogys Star Looking forward to RootsTech  Virtual     ,Positive
NoCamels Digital Arts Festival At Tower Of David Museum To Showcase Impact Of AI On Art       ,Positive
We can make your Virtual Happy Hour SO much better with  Email info at  for more details    ,Positive
Were here to host yourcorporate or private virtual  event For moreinformation reach out to infotriviaadcom      ,Neutral
Be sure to contact info at  for more information on how we can help host  at your virtual  or virtual  gathering    ,Positive
Let us host your birthday party We can do a virtual  and customize the content however youd like Reach out to us at info at  for more details   ,Positive
Let us host your birthday party We can do a virtual  and customize the content however youd like Reach out to us at info at  for more details   ,Positive
Get your team together with a private virtual team building trivia Email infotriviaadcom to plan your virtual corporate trivia event today    ,Positive
Be sure to contact info at  for more information on how we can help host  at your virtual  or virtual  gathering     ,Positive
We can make your Virtual Happy Hour SO much better with  Email info at  for more details    ,Positive
Were here to host yourcorporate or private virtual  event For moreinformation reach out to infotriviaadcom      ,Neutral
Dont forget to contact  AD on more information about hosting your  or  via  Email us at info at    ,Positive
Be sure to contact info at  for more information on how we can help host  at your virtual  or virtual  gathering     ,Positive
Be sure to add  AD to your next virtual happy hour with your office or friends Reach out to infotriviaadcom for more information   ,Positive
Contact info at  for more details on how we can host  at your virtual      ,Positive
Were here to host your corporate or private virtual  event For more information reach out to infotriviaadcom       ,Positive
Two recent  show that tech and meaningful interactions can still surprise and delight through a screen Our wish for  is that all events incorporate a little more wow  MixologyMixer AllSeatedcom   ,Positive
"ICYMI   Fundraising Ideas For Charity That Nurture Collaborative Partnerships With Small Businesses

 

  ",Positive
"ICYMI   Fundraising Ideas For Charity That Nurture Collaborative Partnerships With Small Businesses

 

  ",Positive
"Nonprofits  do you know your support is at a donors fingertips with iConnectXs texttogive platform Learn more today

        ",Positive
"iConnectX provides nonprofits with innovative tools to reach the maximum number of supporters Learn how today

         ",Positive
"iConnectX offers nonprofit solutions to fundraising goals with readytouse online donation pages Find out more now

          ",Positive
"Reach the maximum number of nonprofit supporters with iConnectX Learn how we help organizations exceed fundraising goals today

        ",Positive
"iConnectX is a simple fast and secure way for nonprofits to reach goals quickly Enable giving on iConnectX  learn more today

         ",Positive
"iConnectX is the  tool for charity donations Learn how to simplify fundraising  reach out today

        ",Positive
"Deliver an authentic conference experience filled with engaging activities to attendees around the world using Microsoft Teams Visit  to learn more

    ",Positive
"See how Monmouth University used Virtual Conference Manager to share important information relevant to the counseling field with students and alumni  

       ",Positive
Learn how to leverage your existing investment in  to deliver  for your organization   ,Positive
"Learn how the UK Government used Virtual Conference Manager to host the third annual Atlantic Future Forum AFF onboard the Royal Navy aircraft carrier 

      ",Positive
"Deliver an authentic conference experience filled with engaging activities to attendees around the world using Microsoft Teams Visit  to learn more

    ",Positive
The Environmental Benefits Of  ,Positive
"Learn how the HypoPARAthyroidism Association used Virtual Conference Manager to bring together medical and patient communities from around the world 

       ",Positive
Get started on how your team can create a live Product Deminar for your product thats presented in the style of a webinar   ,Positive
"Discover how innoViaPro increased its client base from  in  to  in  after pivoting from inperson events to  using BlueJeans Events 
   ",Positive
  Looking for some insights on how to create the ultimate virtual breakout room Check out this guide   ,Positive
BlueJeans Events now has the capabilities to help your events be more accessible to wider audiences with multilanguage support   ,Positive
"Worldclass  are much more than a video stream Thats why BlueJeans Events includes tools to engage attendees and deliver broadcastquality  at scale

And now its all available at an unprecedented value 
Learn more 
",Positive
"Share your love of  and get a $ Amazon gift card Simply post a review on G share your thoughts and enjoy your free gift card 

  ",Positive
"   Announcing Simultaneous Interpretation for BlueJeans Events Now you can enhance your ability to host secure and interactive  in several languages 

Learn more here  ",Positive
"  Did you know you can offer simultaneous interpretation for your  with no additional equipment beyond a computer 

Learn how   
",Positive
"ICYMI   Fundraising Ideas For Charity That Nurture Collaborative Partnerships With Small Businesses

 

  ",Positive
"Merry Christmas Eve We hope you spend today relaxing and enjoying family and friends we will be

            ",Positive
"Were excited to be working with Termini Brothers Bakery tonight
Did you know that the Christmas Eve line at the bakery is a generationsold tradition

         ",Positive
"Today is the  which marks the first day of Winter Its also the shortest day of the year
            ",Neutral
"Merry Christmas We hope you have a happy healthy holiday Enjoy today

             ",Positive
"Another  Its not too late to donate for  and we know just the place Visit Delco Dawgs on Facebook or at 

         ",Positive
"Stream into the festivities with love joy and hope
Merry Christmas to all our patrons

   ",Positive
"Quote of the day

Learn more 

             ",Positive
"The newest addition to the ON Platform is designed to maximize attendance with flexible signup forms confirmation emails and reminders Learn more about  

  ",Positive
Missed the  and  that rocked  Well now you can watch the event ondemand Just tune in here  ,Positive
"To our customers partners and colleagues  Happy Holidays and Best Wishes for the new year  

     ",Positive
Sending out a huge thanks to all our Twitter followers for making us number  on the  list of most followed  platforms ,Positive
What will your  and  look like in  Join Cheri Hulse from ON for this live QA about what to expect  ,Positive
"pcmahqs Convening Leaders offers an inside perspective on hybrid event engagement Join Megan Culligan as she explains how their hybrid experience was built from the ground up  

  



 ",Positive
"We would like to extend our warmest greetings to you and your family this holiday season You have our sincerest wishes for a HealthyHappyand Prosperous New Year 
       ",Positive
"More than  of marketers are moving to  in the future even as physical events returned Should you choose a virtual or a hybrid event approach Check out these  reasons    tools to start planning your  

 ",Positive
"Wishing all of our nonprofit customers a happy holiday season with fundraising cheer Snowball is proud to be a part of the good tidings you bring to your communities



     ",Positive
Its amazing what can be created with    nowherewrld  ,Positive
"I really enjoyed the program today it was highly informative a most delightful  insightful program on Chinatown  Event Attendee 

Contact us if you would like the authors to speak at your organization  

    ",Positive
"We Are Glad To Announce  For Winning Best Actor In A Negative Role Award For  Streamed On  At The Indian Telly Streaming Awards 

    ",Positive
"Ease of audience targeting  engagement is just  reason why marketers love   but here are  more reasons why theyre still popular even though inperson events started again  

     ",Positive
"Check out the calls for submissions writing contests and virtual events featured on NewPages the week of December  

      ",Positive
Virtual events have been used as an alternative to inperson events but some have found that getting up excitement surrounding these events has been difficult Heres how ,Positive
"Do you know that you can make your business stand out from the crowd by hosting credible virtual events Contact us today and we will guide you on the best hosting practices to follow
 
 ",Positive
From our virtual home to yours all of us at Touchcast wish you and your loved ones a healthy safe and joyous Holiday Season     $KNOW ,Positive
" virtual events platform VIIEvents have announced the addition of a unique marketplace portal which aims to encourage collaboration

Details on the eventplannernws blog  

   ",Positive
From the eventbrite blog  To live stream or not to live stream that is the question of      ,Neutral
"Weve got the latest blog posts from leading virtual event platforms

See them all here  

   ",Positive
By Kaylyn McKenna for the social blog  Virtual Event Accessibility Checklist    ,Positive
By Nikita Ovcinnikovs for the iVenthq blog  How to Use Event Analytics to Measure the Success of Virtual Events     ,Positive
"Weve got the latest blog posts from leading virtual event platforms

See them all here  

   ",Positive
" virtual events platform VIIEvents have announced the addition of a unique marketplace portal to encourage collaboration

Details on our blog  

   ",Positive
  By Brian Zambotti for the DigitellInc blog  Building the Perfect Virtual Event Agenda  Tips  Tricks    ,Positive
"B event marketers are already starting to see the value of executing online events In fact more than half are willing to spend part of their budget for onsite events to online events as well 

Join Agorify    

   ",Positive
"Tis the season to be jolly Spread the holiday cheer wherever you go   

Love 
Agorify  

           ",Positive
"Our client Quadtrends recently executed APAC Data Summit in a virtual event format They are considering to execute the next edition of their event in a True Hybrid Event format 

Join us now   

    ",Positive
"GlobalNTT was a true extension of our team They helped us execute exactly what we wanted and enabled us to serve our community 

Read the full   of our work with MyastheniaOrg  ",Positive
 Keen to deliver the bestpossible virtual event This comprehensive guide with our valuable advice and tips from our clients will help you do just that       ,Positive
"Congratulation To  For Winning Award For Best Writer Romance For  Streamed On Netflix At The Indian Telly Streaming Awards 

         ",Positive
"We Are Glad To Announce  For Winning The Best Supporting Actor Award For  Streamed On Zee At The Indian Telly Streaming Awards 

         ",Positive
"We Are Glad To Announce  For Winning The Award For Best OTT Series Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

         ",Positive
"We Are Glad To Announce  For Winning Best Actress Award For  Streamed On DisneyPlusHotsar At The Indian Telly Streaming Awards 

        ",Positive
"We Are Glad To Announce  For Winning The Best Digital Romance Series Award Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

        ",Positive
"Congratulation To  For Winning Best Supporting Actress Award For  Streamed On DisneyPlusHotstar At The Indian Telly Streaming Awards 

        ",Positive
"We Are Glad To Announce  For Winning The Best Digital Comedy Series Award Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

        ",Positive
"We Are Glad To Announce  For Winning Best Supporting Actor Award For  Streamed On SonyLIV At The Indian Telly Streaming Awards 

        ",Positive
"We Are Glad To Announce  For Winning The Award For Best Dialogue Writer Of Digital Series  Streamed On SonyLIV At The Indian Telly Streaming Awards 

       ",Positive
"Congratulations To  For Winning Best Supporting Actor Award For  Streamed On MXPlayer At The Indian Telly Streaming Awards 

        ",Positive
"Congratulation To  For Winning Award For Best Director Of First Digital Series  Streamed On Netflix At The Indian Telly Streaming Awards 

          ",Positive
"Congratulation To  For Winning The Best Actress Negative Award For  Streamed On MXPlayer At The Indian Telly Streaming Awards 

        ",Positive
"Congratulation To  For Winning The Best Actor Negative Award For  Streamed On DisneyPlusHotstarVIP At The Indian Telly Streaming Awards 

        ",Positive
"Congratulation To  For Winning The Best Actress Award For  Streamed On DisneyPlusHotstarVIP At The Indian Telly Streaming Awards 

         ",Positive
"Congratulation To    For Winning Best Writer Award For Thriller Series  Streamed On DisneyPlusHotstarVIP At The Indian Telly Streaming Awards 

       ",Positive
"Congratulations To  For Winning Best Reality Show Award For  Streamed On Netflix At The Indian Telly Streaming Awards 

        ",Positive
"We Are Glad To Announce    For Winning The Best Writer Comedy Award For  Streamed On Netflix At The Indian Telly Streaming Awards 

         ",Positive
"We Are Glad To Announce  For Winning Award For The Best Writer Drama Series For  Streamed On Netflix At The Indian Telly Streaming Awards 

        ",Positive
"We Are Glad To Announce  For Winning Best Actor In A Negative Role Award For  Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

       ",Positive
"Congratulation To  For Winning Award For Best  Series Asia Streamed On SonyLIV At The Indian Telly Streaming Awards 
 
         ",Positive
"We Are Glad To Announce  For Winning The Award Of Best OTT Film Streamed On DisneyPlusHotstarVIP At The Indian Telly Streaming Awards 

         ",Positive
"Congratulation To    For Winning Best ScreenPlay Writer Award For  Streamed On Zee At The Indian Telly Streaming Awards 

       ",Positive
"We Are Glad To Announce  For Winning The Award Of Best Studio Asia At The Indian Telly Streaming Awards 

        ",Positive
"We Are Glad To Announce  For Winning Best Comic Male Award For  Streamed On DisneyPlusHotstar At The Indian Telly Streaming Awards 

        ",Positive
"Congratulation To    For Winning Best Dialogue Writer Award For  Streamed On Zee At The Indian Telly Streaming Awards 
 
       ",Positive
"Join us Live Today at  pm to Know the Winners 

Register Now 

For more info 

     ",Positive
"We Are Glad To Announce    For Winning The Best Digital FactualEducation Series Award Streamed On DiscoveryPlus At The Indian Telly Streaming Awards 
 
     ",Positive
"We Are Glad To Announce  For Winning The Award For Best Movie Asia Streamed On Netflix At The Indian Telly Streaming Awards 
 
        ",Positive
"Congratulation To  For Winning Best Actress In Negative Role Award For  Streamed On HungamaPlay At The Indian Telly Streaming Awards 

        ",Positive
"Congratulation To HungamaPlay For Winning The Award Of Best Branded Video At The Indian Telly Streaming Awards 

        ",Positive
"We Are Glad To Announce  TV Series For Winning The Award For Best Documentary Streamed On DiscoveryPlus At The Indian Telly Streaming Awards 

        ",Positive
"We Are Glad To Announce  IntoTheWildWithBearGrylls   For Winning The Best Digital NonFiction Series Award Streamed On DiscoveryPlus At The Indian Telly Streaming Awards 
 
        ",Positive
"We Are Glad To Announce  For Winning The Best Supporting Actress Award For  Streamed On Netflix At The Indian Telly Streaming Awards 

        ",Positive
"We Are Glad To Announce  For Winning The Best Digital Drama Series Award Streamed On SonyLIV At The Indian Telly Streaming Awards 

        ",Positive
"Congratulation To  For Winning Best Comic Female Award For  Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

        ",Positive
"Congratulation To  For Winning Best Actor Award For  Streamed On DisneyPlusHotstar At The Indian Telly Streaming Awards 

         ",Positive
"Congratulation To  For Winning The Best Actor Award For  Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

         ",Positive
"Congratulation To  For Winning Best Director Award For Digital Series  Streamed On SonyLIV At The Indian Telly Streaming Awards 

         ",Positive
"We Are Glad To Announce  For Winning The Best Digital Thriller Series Award Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

        ",Positive
"A Big Thank You to Our Grand Jury of The Indian Telly Streaming Awards 

For More Info 

        ",Positive
"Congratulation To  For Winning Award For Best Director Of First Digital Series  Streamed On Zee At The Indian Telly Streaming Awards 

         ",Positive
"Congratulation To    For Winning Award Of Best Editor For  Streamed On DiscoveryPlus At The Indian Telly Streaming Awards 

      ",Positive
"We Are Glad To Announce  For Winning Award For Having The Best Title Track Streamed On AmazonPrimeVideo At The Indian Telly Streaming Awards 

         ",Positive
"Congratulation To    For Winning Award For Best Background Music For  Streamed On SonyLIV At The Indian Telly Streaming Awards 

       ",Positive
"We Are Glad To Announce  For Winning Best Actress Award For  Streamed On Zee At The Indian Telly Streaming Awards 
 
        ",Positive
" Hour To Go for the Indian Telly Streaming Awards

Check out the Winners  Onwards

Click to join  

        ",Positive
"Weekend Poll

Have you employed integration technology in your virtual events

Take the poll

      ",Positive
"Any sufficiently advanced technology is indistinguishable from magic

Events Pipelines custom integrations can help you manage your whole virtual event simply with a tap on your mouse just like magic

    ",Positive
"Wish you all the Happiest Holidays

              
 ",Positive
"Join exhiVits  EXHIBIT | NETWORK | COLLABORATE
Experience our unique DASHBOARD 

          ",Positive
"Announcing MEDIA PARTNERSHIP with Compasses ArchitectureDesign
            

 ",Positive
"The  Logics Why Organizers Are Loving Virtual Events  Videos

  

 ",Positive
"Merry Christmas from Indiattitude Family

            


 ",Positive
"Lets have an exciting year end Join BlockHash LIVE  on December  To Register visit 
    kbaiiitmk ",Positive
"Lets have an exciting year end Join BlockHash LIVE  on December  To Register visit 
    kbaiiitmk ",Positive
"Visit our Events page to see upcoming virtual hedge schools risk academies  trade shows We cant wait to meet you  
",Negative
Choose an avatar to login Which one       ,Neutral
"We promise to be the Lloyd Dobler to your Diane Court and make all your  come to life Fireworks by Eventcombo 

 

     ",Positive
"Keep engaging with your attendees and speakers even after the event is over with Community by Eventcombo Get on the waitlist now 

 

      ",Positive
"Looking for  or  to join in the  

Check out this blog post from selbyevans blog Virtual Outworlding



    ",Positive
Welcome to Webinar Wednesday hosted by Vilhelmiina Mhnen from TwentyThree with guest Mark Barton talking about why you need to warm up before hosting a webinar and how to connect with your audience   ,Positive
"AddingVideos is wishing you a Merry Christmas and a Happy New Year Come and visit our  virtual  to get into a festive mood 
       ",Positive
Did you know Throughout  CNM offered   events serving over  attendees After the holiday break CNM and our facilitators are back for more  throughout  Join now and learn from  experts  ,Positive
"Did you Know You can host your event with enterpriselevel security that is automatically in place and updated constantly Schedule your demo and speak with one of our experts about our secure technology today



  ",Positive
"Lets Get Serious About Hybrid Events  Our latest newsletter breaks down what it actually means cost considerations and best practices 



   ",Positive
"Happy Holidays Gentle etiquette reminder to be applied on all video conference calls in the New Year

     ",Positive
"As the holiday season is upon us we wish you and yours happiness and peace from the MULTILEARNING team 
     ",Positive
After your  do you nurture and score leads Learn more about how to make the most of your virtual event metrics  ,Positive
In this blog learn how to make your  more interactive Read more  ,Positive
Everybody knows holidays are  better with adorable pets Attendees and us love seeing all your furry friends in the gallery especially when you capture funny moments         ,Positive
"In keeping with the holidays heres a fun photo of one of our amazing vehicle upfit clients 

Lets work together to create an experience thats memorable and drives action 

    ",Positive
"Countdown to Christmas Were not sure who thinks this is more odd our SME or Santa You never know what will happen at a  which is part of the fun and charm    
    ",Positive
"The live events industry continues to be in flux Keeping a virtual component or creating an entire  is a smart strategy Here are six tips to promote your virtual event for maximum effectiveness and reach   
",Positive
"Another inperson only event = another missed opportunity to increase your return on investment ROI 

Click the link below to get a demo and discover how hybrid events can benefit your organization and increase your ROI 

  ",Positive
"When you give you also receive Increase your brand awareness  put a smile on attendees faces with virtual event gifts 

Discover a variety of sustainable unique or cozy gifts to give attendees at your next event 

 ",Positive
"Virtual events and virtual networking are the new normal in a pandemic world But what does that really mean Are you ready to network in a virtual world

  ",Positive
"Looking for some postholiday fun or ways to celebrate the new year with your team Here at HostEventsInc  we have the fun virtual happy hours your team needs

  ",Positive
"Learn how you can use KPIs to measure virtual and hybrid event satisfaction

   ",Positive
"If youre an  and thinking about going virtual for the first time the sheer number of options a virtual event presents may feel overwhelming

Download our ebook for suggestions and tips on planning a virtual event 
 ",Negative
Our team is growing  We are actively reviewing applications for roles in marketing sales engineering and support  we hope to hear from you     ,Positive
"Although inperson events remain an uncertainty for now that shouldnt stop your  event planning   Here are  ways you can leverage your social platforms to promote your next online event 

",Positive
Curious about what  Live Events can do for your broadcaststyle programming Heres the latest info about   UPDATED for   Quick Facts About Teams Live Events ,Positive
"YouTubers turned to virtual events at the height of the pandemic and it appears they are here to stay dudejohan   

   ",Negative
"Virtual and Hybrid events We take the risk  hassle out of your events so you can focus on what matters Find out more visit our website here 
   ",Neutral
"Digital Leaders DigiLeaders
Virtual and Hybrid events We take the risk  hassle out of your events so you can focus on what matters Find out more visit our website here 
   ",Neutral
"Virtual and Hybrid events We take the risk  hassle out of your events so you can focus on what matters Find out more visit our website here 
   ",Neutral
"Inpixons CXApp Event Platform Selected by the Association of Briefing Program Managers as Exclusive Event Management Solution

$INPX         ",Positive
"The dates are out  
Redbricks presents its first virtual event 
|| SELfest   ||
When  to  January 
Where Online
Stay tuned to know more 
         ",Neutral
"Congratulation To  For Winning Best Director Award For Digital Series  Streamed On  At The Indian Telly Streaming Awards 
 
        ",Positive
"We Are Glad To Announce  For Winning The Award For Best Dialogue Writer Of Digital Series  Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"Congratulation To  For Winning Best Reality Show Award For  Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"Congratulation To    For Winning Award For Best Screenplay Writer For Digital Series  Streamed On SonyLIV At The Indian Telly Streaming Awards 

      ",Positive
"Congratulation To com For Winning The Award Of Best Branded Video At The Indian Telly Streaming Awards 

       ",Positive
"We Are Glad To Announce  For Winning The Best Digital Romance Series Award Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"We Are Glad To Announce  For Winning The Best Digital Comedy Series Award Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"Congratulation To  For Winning Award For Best  Series Asia Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"Congratulation To  For Winning The Best Actor Negative Award For  Streamed On  At The Indian Telly Streaming Awards 
        ",Positive
"Congratulation To  For Winning Best Supporting Actor Award For  Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"Congratulation To  For Winning Award For Best Writer Romance For  Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"We Are Glad To Announce  For Winning Best Actress Award For  Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"Congratulation To  For Winning Best Supporting Actress Award For  Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"Congratulation To    For Winning Best ScreenPlay Writer Award For  Streamed On  At The Indian Telly Streaming Awards 

      ",Positive
"Congratulation To  For Winning Award For Best Director Of First Digital Series  Streamed On  At The Indian Telly Streaming Awards 

      ",Positive
"We Are Glad To Announce  For Winning The Award For Best OTT Series Streamed On  At The Indian Telly Streaming Awards 

        ",Positive
"We Are Glad To Announce  TV Series For Winning The Award For Best Documentary Streamed On   At The Indian Telly Streaming Awards 

       ",Positive
"Congratulation To  For Winning Award For Best  Series Asia Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"We Are Glad To Announce  For Winning Best Supporting Actor Award For  Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"Congratulation To  For Winning Best Actor Award For  Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"We Are Glad To Announce  For Winning The Best Digital Thriller Series Award Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"Congratulation To  For Winning Best Comic Female Award For  Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"Congratulation To    For Winning Award For Best Background Music For  Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"Congratulation To  For Winning The Best Actress Negative Award For  Streamed On  At The Indian Telly Streaming Awards 

        ",Positive
"We Are Glad To Announce  For Winning Best Comic Male Award For  Streamed On  At The Indian Telly Streaming Awards 

       ",Positive
"We Are Glad To Announce    For Winning The Best Writer Comedy Award For  Streamed On Netflix At The Indian Telly Streaming Awards 

        ",Positive
"We Are Glad To Announce    For Winning The Best Jodi Award For  Streamed On  At The Indian Telly Streaming Awards 

         ",Positive
